Sem,Dia,Data,Horário,Em casa,xG,Resultado,xG.1,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
1.0,sáb,2023-08-19,18:30,Frosinone,0.9,1–3,1.5,Napoli,15.822,Stadio Benito Stirpe,Matteo Marcenaro,Relatório da Partida,
1.0,sáb,2023-08-19,18:30,Empoli,0.7,0–1,0.5,Hellas Verona,7.94,Stadio Carlo Castellani,Luca Massimi,Relatório da Partida,
1.0,sáb,2023-08-19,20:45,Inter,2.7,2–0,0.8,Monza,72.509,Stadio Giuseppe Meazza,Andrea Colombo,Relatório da Partida,
1.0,sáb,2023-08-19,20:45,Genoa,0.2,1–4,1.0,Fiorentina,33.045,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,Relatório da Partida,
1.0,dom,2023-08-20,18:30,Sassuolo,0.4,0–2,1.3,Atalanta,12.298,Mapei Stadium - Città del Tricolore,Matteo Marchetti,Relatório da Partida,
1.0,dom,2023-08-20,18:30,Roma,1.9,2–2,0.1,Salernitana,62.05,Stadio Olimpico,Ermanno Feliciani,Relatório da Partida,
1.0,dom,2023-08-20,20:45,Lecce,1.4,2–1,1.6,Lazio,29.081,Stadio Comunale Via Del Mare,Federico Dionisi,Relatório da Partida,
1.0,dom,2023-08-20,20:45,Udinese,1.0,0–3,1.8,Juventus,24.911,Bluenergy Stadium,Antonio Rapuano,Relatório da Partida,
1.0,seg,2023-08-21,18:30,Torino,1.0,0–0,0.4,Cagliari,20.296,Stadio Olimpico di Torino,Francesco Cosso,Relatório da Partida,
1.0,seg,2023-08-21,20:45,Bologna,1.0,0–2,0.9,Milan,30.203,Stadio Renato Dall'Ara,Luca Pairetto,Relatório da Partida,
,,,,,,,,,,,,,
2.0,sáb,2023-08-26,18:30,Frosinone,0.7,2–1,1.6,Atalanta,13.426,Stadio Benito Stirpe,Juan Sacchi,Relatório da Partida,
2.0,sáb,2023-08-26,18:30,Monza,2.0,2–0,1.0,Empoli,8.155,U-Power Stadium,Gianluca Aureliano,Relatório da Partida,
2.0,sáb,2023-08-26,20:45,Hellas Verona,0.7,2–1,1.5,Roma,23.147,Stadio Marc'Antonio Bentegodi,Daniele Doveri,Relatório da Partida,
2.0,sáb,2023-08-26,20:45,Milan,3.0,4–1,0.5,Torino,72.013,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
2.0,dom,2023-08-27,18:30,Juventus,0.8,1–1,0.5,Bologna,36.107,Allianz Stadium,Marco Di Bello,Relatório da Partida,
2.0,dom,2023-08-27,18:30,Fiorentina,1.3,2–2,0.3,Lecce,34.604,Stadio Artemio Franchi,Maria Sole Ferrieri Caputi,Relatório da Partida,
2.0,dom,2023-08-27,20:45,Napoli,3.5,2–0,0.2,Sassuolo,46.925,Stadio Diego Armando Maradona,Antonio Giua,Relatório da Partida,
2.0,dom,2023-08-27,20:45,Lazio,1.4,0–1,0.6,Genoa,40.0,Stadio Olimpico,Livio Marinelli,Relatório da Partida,
2.0,seg,2023-08-28,18:30,Salernitana,0.5,1–1,0.8,Udinese,20.0,Stadio Arechi,Davide Massa,Relatório da Partida,
2.0,seg,2023-08-28,20:45,Cagliari,0.6,0–2,0.9,Inter,16.412,Unipol Domus,Michael Fabbri,Relatório da Partida,
,,,,,,,,,,,,,
3.0,sex,2023-09-01,18:30,Sassuolo,1.7,3–1,0.6,Hellas Verona,10.356,Mapei Stadium - Città del Tricolore,Marco Piccinini,Relatório da Partida,
3.0,sex,2023-09-01,20:45,Roma,0.7,1–2,1.5,Milan,61.69,Stadio Olimpico,Antonio Rapuano,Relatório da Partida,
3.0,sáb,2023-09-02,18:30,Bologna,2.3,2–1,0.5,Cagliari,22.818,Stadio Renato Dall'Ara,Daniele Orsato,Relatório da Partida,
3.0,sáb,2023-09-02,18:30,Udinese,1.5,0–0,1.8,Frosinone,20.116,Bluenergy Stadium,Marco Guida,Relatório da Partida,
3.0,sáb,2023-09-02,20:45,Napoli,1.3,1–2,0.6,Lazio,42.0,Stadio Diego Armando Maradona,Andrea Colombo,Relatório da Partida,
3.0,sáb,2023-09-02,20:45,Atalanta,1.3,3–0,0.4,Monza,14.985,Gewiss Stadium,Matteo Marcenaro,Relatório da Partida,
3.0,dom,2023-09-03,18:30,Torino,0.4,1–0,0.2,Genoa,24.433,Stadio Olimpico di Torino,Daniele Chiffi,Relatório da Partida,
3.0,dom,2023-09-03,18:30,Inter,3.7,4–0,0.4,Fiorentina,72.739,Stadio Giuseppe Meazza,Matteo Marchetti,Relatório da Partida,
3.0,dom,2023-09-03,20:45,Lecce,1.7,2–0,1.1,Salernitana,28.052,Stadio Comunale Via Del Mare,Luca Massimi,Relatório da Partida,
3.0,dom,2023-09-03,20:45,Empoli,0.3,0–2,2.7,Juventus,15.702,Stadio Carlo Castellani,Giovanni Ayroldi,Relatório da Partida,
,,,,,,,,,,,,,
4.0,sáb,2023-09-16,15:00,Juventus,2.2,3–1,0.6,Lazio,40.652,Allianz Stadium,Fabio Maresca,Relatório da Partida,
4.0,sáb,2023-09-16,18:00,Inter,2.6,5–1,1.1,Milan,75.571,Stadio Giuseppe Meazza,Simone Sozza,Relatório da Partida,
4.0,sáb,2023-09-16,20:45,Genoa,1.2,2–2,0.9,Napoli,33.275,Stadio Comunale Luigi Ferraris,Michael Fabbri,Relatório da Partida,
4.0,dom,2023-09-17,12:30,Cagliari,1.6,0–0,0.7,Udinese,15.121,Unipol Domus,Daniele Doveri,Relatório da Partida,
4.0,dom,2023-09-17,15:00,Monza,2.2,1–1,0.9,Lecce,13.074,U-Power Stadium,Livio Marinelli,Relatório da Partida,
4.0,dom,2023-09-17,15:00,Frosinone,2.8,4–2,1.3,Sassuolo,13.133,Stadio Benito Stirpe,Alessandro Prontera,Relatório da Partida,
4.0,dom,2023-09-17,18:00,Fiorentina,1.1,3–2,0.7,Atalanta,32.1,Stadio Artemio Franchi,Luca Pairetto,Relatório da Partida,
4.0,dom,2023-09-17,20:45,Roma,2.4,7–0,0.2,Empoli,61.443,Stadio Olimpico,Juan Sacchi,Relatório da Partida,
4.0,seg,2023-09-18,18:30,Salernitana,0.7,0–3,1.8,Torino,15.48,Stadio Arechi,Antonio Giua,Relatório da Partida,
4.0,seg,2023-09-18,20:45,Hellas Verona,0.4,0–0,0.6,Bologna,18.863,Stadio Marc'Antonio Bentegodi,Federico La Penna,Relatório da Partida,
,,,,,,,,,,,,,
5.0,sex,2023-09-22,18:30,Salernitana,1.1,1–1,0.7,Frosinone,16.217,Stadio Arechi,Marco Piccinini,Relatório da Partida,
5.0,sex,2023-09-22,20:45,Lecce,0.9,1–0,0.3,Genoa,27.0,Stadio Comunale Via Del Mare,Antonio Rapuano,Relatório da Partida,
5.0,sáb,2023-09-23,15:00,Milan,0.9,1–0,0.6,Hellas Verona,71.07,Stadio Giuseppe Meazza,Fabio Maresca,Relatório da Partida,
5.0,sáb,2023-09-23,18:00,Sassuolo,1.6,4–2,1.2,Juventus,20.141,Mapei Stadium - Città del Tricolore,Andrea Colombo,Relatório da Partida,
5.0,sáb,2023-09-23,20:45,Lazio,1.0,1–1,1.2,Monza,36.0,Stadio Olimpico,Rosario Abisso,Relatório da Partida,
5.0,dom,2023-09-24,12:30,Empoli,0.3,0–1,1.6,Inter,15.651,Stadio Carlo Castellani,Matteo Marcenaro,Relatório da Partida,
5.0,dom,2023-09-24,15:00,Atalanta,1.7,2–0,0.8,Cagliari,14.739,Gewiss Stadium,Ermanno Feliciani,Relatório da Partida,
5.0,dom,2023-09-24,15:00,Udinese,2.2,0–2,0.5,Fiorentina,21.229,Bluenergy Stadium,Daniele Chiffi,Relatório da Partida,
5.0,dom,2023-09-24,18:00,Bologna,0.2,0–0,2.1,Napoli,26.621,Stadio Renato Dall'Ara,Giovanni Ayroldi,Relatório da Partida,
5.0,dom,2023-09-24,20:45,Torino,0.9,1–1,1.4,Roma,23.299,Stadio Olimpico di Torino,Marco Guida,Relatório da Partida,
,,,,,,,,,,,,,
6.0,ter,2023-09-26,20:45,Juventus,1.4,1–0,0.1,Lecce,37.498,Allianz Stadium,Antonio Giua,Relatório da Partida,
6.0,qua,2023-09-27,18:30,Hellas Verona,0.5,0–1,1.2,Atalanta,15.936,Stadio Marc'Antonio Bentegodi,Federico Dionisi,Relatório da Partida,
6.0,qua,2023-09-27,18:30,Empoli,3.2,1–0,0.6,Salernitana,7.979,Stadio Carlo Castellani,Antonio Rapuano,Relatório da Partida,
6.0,qua,2023-09-27,18:30,Cagliari,0.9,1–3,2.1,Milan,16.348,Unipol Domus,Federico La Penna,Relatório da Partida,
6.0,qua,2023-09-27,20:45,Napoli,3.3,4–1,0.7,Udinese,45.305,Stadio Diego Armando Maradona,Gianluca Manganiello,Relatório da Partida,
6.0,qua,2023-09-27,20:45,Lazio,0.9,2–0,0.3,Torino,35.1,Stadio Olimpico,Michael Fabbri,Relatório da Partida,
6.0,qua,2023-09-27,20:45,Inter,0.9,1–2,1.0,Sassuolo,70.864,Stadio Giuseppe Meazza,Luca Massimi,Relatório da Partida,
6.0,qui,2023-09-28,18:30,Monza,0.7,0–0,0.7,Bologna,8.93,U-Power Stadium,Ivan Pezzuto,Relatório da Partida,
6.0,qui,2023-09-28,18:30,Frosinone,0.7,1–1,1.4,Fiorentina,14.755,Stadio Benito Stirpe,Francesco Fourneau,Relatório da Partida,
6.0,qui,2023-09-28,20:45,Genoa,1.1,4–1,1.4,Roma,32.961,Stadio Comunale Luigi Ferraris,Daniele Orsato,Relatório da Partida,
,,,,,,,,,,,,,
7.0,sáb,2023-09-30,15:00,Lecce,0.5,0–4,2.5,Napoli,27.588,Stadio Comunale Via Del Mare,Luca Pairetto,Relatório da Partida,
7.0,sáb,2023-09-30,18:00,Milan,2.2,2–0,0.5,Lazio,72.035,Stadio Giuseppe Meazza,Davide Massa,Relatório da Partida,
7.0,sáb,2023-09-30,20:45,Salernitana,0.6,0–4,2.3,Inter,28.085,Stadio Arechi,Rosario Abisso,Relatório da Partida,
7.0,dom,2023-10-01,12:30,Bologna,2.4,3–0,0.9,Empoli,23.689,Stadio Renato Dall'Ara,Fabio Maresca,Relatório da Partida,
7.0,dom,2023-10-01,15:00,Udinese,1.3,2–2,0.8,Genoa,20.805,Bluenergy Stadium,Maurizio Mariani,Relatório da Partida,
7.0,dom,2023-10-01,18:00,Atalanta,1.2,0–0,0.2,Juventus,14.811,Gewiss Stadium,Daniele Chiffi,Relatório da Partida,
7.0,dom,2023-10-01,20:45,Roma,0.6,2–0,0.9,Frosinone,62.638,Stadio Olimpico,Matteo Marchetti,Relatório da Partida,
7.0,seg,2023-10-02,18:30,Sassuolo,1.4,0–1,1.5,Monza,10.165,Mapei Stadium - Città del Tricolore,Luca Zufferli,Relatório da Partida,
7.0,seg,2023-10-02,18:30,Torino,0.6,0–0,0.3,Hellas Verona,19.419,Stadio Olimpico di Torino,Ermanno Feliciani,Relatório da Partida,
7.0,seg,2023-10-02,20:45,Fiorentina,1.2,3–0,0.8,Cagliari,27.309,Stadio Artemio Franchi,Marco Di Bello,Relatório da Partida,
,,,,,,,,,,,,,
8.0,sex,2023-10-06,18:30,Empoli,1.3,0–0,0.7,Udinese,7.128,Stadio Carlo Castellani,Michael Fabbri,Relatório da Partida,
8.0,sex,2023-10-06,20:45,Lecce,1.7,1–1,1.5,Sassuolo,26.16,Stadio Comunale Via Del Mare,Juan Sacchi,Relatório da Partida,
8.0,sáb,2023-10-07,15:00,Inter,0.7,2–2,1.3,Bologna,74.072,Stadio Giuseppe Meazza,Marco Guida,Relatório da Partida,
8.0,sáb,2023-10-07,18:00,Juventus,1.9,2–0,0.6,Torino,38.858,Allianz Stadium,Davide Massa,Relatório da Partida,
8.0,sáb,2023-10-07,20:45,Genoa,0.5,0–1,0.6,Milan,33.157,Stadio Comunale Luigi Ferraris,Marco Piccinini,Relatório da Partida,
8.0,dom,2023-10-08,12:30,Monza,2.8,3–0,0.6,Salernitana,12.494,U-Power Stadium,Luca Massimi,Relatório da Partida,
8.0,dom,2023-10-08,15:00,Lazio,1.6,3–2,1.0,Atalanta,41.0,Stadio Olimpico,Daniele Orsato,Relatório da Partida,
8.0,dom,2023-10-08,15:00,Frosinone,1.8,2–1,0.8,Hellas Verona,13.034,Stadio Benito Stirpe,Maria Sole Ferrieri Caputi,Relatório da Partida,
8.0,dom,2023-10-08,18:00,Cagliari,1.7,1–4,2.6,Roma,16.307,Unipol Domus,Simone Sozza,Relatório da Partida,
8.0,dom,2023-10-08,20:45,Napoli,1.8,1–3,2.1,Fiorentina,45.0,Stadio Diego Armando Maradona,Federico La Penna,Relatório da Partida,
,,,,,,,,,,,,,
9.0,sáb,2023-10-21,15:00,Hellas Verona,1.3,1–3,2.3,Napoli,20.549,Stadio Marc'Antonio Bentegodi,Rosario Abisso,Relatório da Partida,
9.0,sáb,2023-10-21,18:00,Torino,0.4,0–3,2.5,Inter,26.193,Stadio Olimpico di Torino,Matteo Marchetti,Relatório da Partida,
9.0,sáb,2023-10-21,20:45,Sassuolo,0.5,0–2,2.3,Lazio,15.597,Mapei Stadium - Città del Tricolore,Marco Di Bello,Relatório da Partida,
9.0,dom,2023-10-22,12:30,Roma,1.7,1–0,0.4,Monza,62.022,Stadio Olimpico,Giovanni Ayroldi,Relatório da Partida,
9.0,dom,2023-10-22,15:00,Bologna,1.5,2–1,1.5,Frosinone,26.729,Stadio Renato Dall'Ara,Daniele Doveri,Relatório da Partida,
9.0,dom,2023-10-22,15:00,Salernitana,1.5,2–2,1.7,Cagliari,17.409,Stadio Arechi,Daniele Chiffi,Relatório da Partida,
9.0,dom,2023-10-22,18:00,Atalanta,1.2,2–0,1.0,Genoa,14.848,Gewiss Stadium,Livio Marinelli,Relatório da Partida,
9.0,dom,2023-10-22,20:45,Milan,0.3,0–1,1.4,Juventus,75.676,Stadio Giuseppe Meazza,Maurizio Mariani,Relatório da Partida,
9.0,seg,2023-10-23,18:30,Udinese,2.1,1–1,0.8,Lecce,20.113,Bluenergy Stadium,Paride Tremolada,Relatório da Partida,
9.0,seg,2023-10-23,20:45,Fiorentina,1.0,0–2,1.5,Empoli,43.147,Stadio Artemio Franchi,Federico Dionisi,Relatório da Partida,
,,,,,,,,,,,,,
10.0,sex,2023-10-27,20:45,Genoa,0.5,1–0,0.6,Salernitana,31.904,Stadio Comunale Luigi Ferraris,Davide Massa,Relatório da Partida,
10.0,sáb,2023-10-28,15:00,Sassuolo,0.9,1–1,1.0,Bologna,16.931,Mapei Stadium - Città del Tricolore,Antonio Giua,Relatório da Partida,
10.0,sáb,2023-10-28,18:00,Lecce,0.5,0–1,0.8,Torino,26.123,Stadio Comunale Via Del Mare,Gianluca Aureliano,Relatório da Partida,
10.0,sáb,2023-10-28,20:45,Juventus,3.3,1–0,0.3,Hellas Verona,39.429,Allianz Stadium,Ermanno Feliciani,Relatório da Partida,
10.0,dom,2023-10-29,12:30,Cagliari,3.4,4–3,1.5,Frosinone,15.946,Unipol Domus,Luca Pairetto,Relatório da Partida,
10.0,dom,2023-10-29,15:00,Monza,0.5,1–1,1.1,Udinese,10.311,U-Power Stadium,Alessandro Prontera,Relatório da Partida,
10.0,dom,2023-10-29,18:00,Inter,2.2,1–0,0.1,Roma,75.573,Stadio Giuseppe Meazza,Fabio Maresca,Relatório da Partida,
10.0,dom,2023-10-29,20:45,Napoli,1.7,2–2,2.0,Milan,54.0,Stadio Diego Armando Maradona,Daniele Orsato,Relatório da Partida,
10.0,seg,2023-10-30,18:30,Empoli,0.3,0–3,1.6,Atalanta,7.825,Stadio Carlo Castellani,Luca Massimi,Relatório da Partida,
10.0,seg,2023-10-30,20:45,Lazio,1.9,1–0,0.4,Fiorentina,35.0,Stadio Olimpico,Matteo Marcenaro,Relatório da Partida,
,,,,,,,,,,,,,
11.0,sex,2023-11-03,20:45,Bologna,0.6,1–0,0.5,Lazio,24.178,Stadio Renato Dall'Ara,Federico La Penna,Relatório da Partida,
11.0,sáb,2023-11-04,15:00,Salernitana,0.3,0–2,1.4,Napoli,16.812,Stadio Arechi,Antonio Rapuano,Relatório da Partida,
11.0,sáb,2023-11-04,18:00,Atalanta,1.0,1–2,1.3,Inter,14.945,Gewiss Stadium,Simone Sozza,Relatório da Partida,
11.0,sáb,2023-11-04,20:45,Milan,0.9,0–1,1.4,Udinese,71.018,Stadio Giuseppe Meazza,Juan Sacchi,Relatório da Partida,
11.0,dom,2023-11-05,12:30,Hellas Verona,1.0,1–3,0.9,Monza,17.505,Stadio Marc'Antonio Bentegodi,Giuseppe Collu,Relatório da Partida,
11.0,dom,2023-11-05,15:00,Cagliari,0.9,2–1,1.0,Genoa,16.412,Unipol Domus,Marco Guida,Relatório da Partida,
11.0,dom,2023-11-05,18:00,Roma,2.0,2–1,0.8,Lecce,64.79,Stadio Olimpico,Andrea Colombo,Relatório da Partida,
11.0,dom,2023-11-05,20:45,Fiorentina,0.7,0–1,0.7,Juventus,38.225,Stadio Artemio Franchi,Daniele Chiffi,Relatório da Partida,
11.0,seg,2023-11-06,18:30,Frosinone,0.8,2–1,1.5,Empoli,13.229,Stadio Benito Stirpe,Gianluca Manganiello,Relatório da Partida,
11.0,seg,2023-11-06,20:45,Torino,3.5,2–1,0.5,Sassuolo,18.0,Stadio Olimpico di Torino,Maria Sole Ferrieri Caputi,Relatório da Partida,
,,,,,,,,,,,,,
12.0,sex,2023-11-10,18:30,Sassuolo,2.9,2–2,0.8,Salernitana,10.945,Mapei Stadium - Città del Tricolore,Davide Ghersini,Relatório da Partida,
12.0,sex,2023-11-10,20:45,Genoa,1.6,1–0,0.2,Hellas Verona,30.421,Stadio Comunale Luigi Ferraris,Daniele Orsato,Relatório da Partida,
12.0,sáb,2023-11-11,15:00,Lecce,1.4,2–2,1.1,Milan,26.48,Stadio Comunale Via Del Mare,Rosario Abisso,Relatório da Partida,
12.0,sáb,2023-11-11,18:00,Juventus,2.3,2–1,0.6,Cagliari,39.892,Allianz Stadium,Marco Piccinini,Relatório da Partida,
12.0,sáb,2023-11-11,20:45,Monza,0.9,1–1,1.0,Torino,11.777,U-Power Stadium,Daniele Doveri,Relatório da Partida,
12.0,dom,2023-11-12,12:30,Napoli,0.9,0–1,0.5,Empoli,50.5,Stadio Diego Armando Maradona,Alessandro Prontera,Relatório da Partida,
12.0,dom,2023-11-12,15:00,Fiorentina,1.4,2–1,1.8,Bologna,29.75,Stadio Artemio Franchi,Fabio Maresca,Relatório da Partida,
12.0,dom,2023-11-12,15:00,Udinese,1.5,1–1,0.7,Atalanta,23.1,Bluenergy Stadium,Gianluca Aureliano,Relatório da Partida,
12.0,dom,2023-11-12,18:00,Lazio,0.4,0–0,0.4,Roma,63.0,Stadio Olimpico,Davide Massa,Relatório da Partida,
12.0,dom,2023-11-12,20:45,Inter,3.1,2–0,0.7,Frosinone,70.816,Stadio Giuseppe Meazza,Federico Dionisi,Relatório da Partida,
,,,,,,,,,,,,,
13.0,sáb,2023-11-25,15:00,Salernitana,1.7,2–1,2.0,Lazio,16.7,Stadio Arechi,Alessandro Prontera,Relatório da Partida,
13.0,sáb,2023-11-25,18:00,Atalanta,1.0,1–2,2.0,Napoli,14.743,Gewiss Stadium,Maurizio Mariani,Relatório da Partida,
13.0,sáb,2023-11-25,20:45,Milan,1.8,1–0,1.8,Fiorentina,73.074,Stadio Giuseppe Meazza,Marco Di Bello,Relatório da Partida,
13.0,dom,2023-11-26,12:30,Cagliari,1.6,1–1,0.7,Monza,16.291,Unipol Domus,Matteo Marchetti,Relatório da Partida,
13.0,dom,2023-11-26,15:00,Frosinone,0.6,2–1,1.3,Genoa,14.018,Stadio Benito Stirpe,Luca Zufferli,Relatório da Partida,
13.0,dom,2023-11-26,15:00,Empoli,1.4,3–4,2.3,Sassuolo,9.954,Stadio Carlo Castellani,Simone Sozza,Relatório da Partida,
