Jogador,Ivan Provedel,Felipe Anderson,Sergej Milinković-Savić,Alessio Romagnoli,Mattia Zaccagni,Adam Marušić,Luis Alberto,Nicolò Casale,Ciro Immobile,Danilo Cataldi,Elseid Hysaj,Manuel Lazzari,Pedro,Matías Vecino,Patric,Marcos Antônio,Toma Bašić,Matteo Cancellieri,Luca Pellegrini,Luka Romero,Luís Maximiano,Mario Gila,Marco Bertini,Ștefan Radu,Marius Adamonis,Djavan Anderson,Mohamed Fares,Romano Floriani,Diego González,Dimitrije Kamenović,Federico Magro,Raúl Moro,Fabio Ruggeri
Pos.,G,AT,LT,ZG,AT,ZG,LT,ZG,AT,LT,ZG,ZG,AT,LT,ZG,LT,LT,AT,ZG,AT,G,ZG,LT,AT,G,"ZG,LT","ZG,AT",ZG,AT,ZG,G,AT,ZG
Idade,28.0,29.0,27.0,27.0,27.0,29.0,29.0,24.0,32.0,27.0,28.0,28.0,35.0,30.0,29.0,22.0,25.0,20.0,23.0,17.0,23.0,21.0,19.0,35.0,25.0,27.0,26.0,19.0,19.0,22.0,17.0,19.0,17.0
MP,38,38,36,34,35,33,35,29,31,29,34,28,36,32,18,16,25,20,7,6,1,4,1,1,0,0,0,0,0,0,0,0,0
Inícios,37,35,34,33,33,31,27,27,27,26,22,22,17,17,16,6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Min.,3.413,2.958,3.022,2.922,2.77,2.76,2.442,2.437,2.219,1.921,1.998,1.879,1.898,1.691,1.413,594.0,513.0,256.0,180.0,151.0,5.0,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,37.9,32.9,33.6,32.5,30.8,30.7,27.1,27.1,24.7,21.3,22.2,20.9,21.1,18.8,15.7,6.6,5.7,2.8,2.0,1.7,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,0.0,9.0,9.0,2.0,10.0,0.0,6.0,1.0,12.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,0.0,2.0,8.0,0.0,6.0,2.0,7.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,0.0,11.0,17.0,2.0,16.0,2.0,13.0,2.0,17.0,1.0,2.0,0.0,7.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,0.0,9.0,9.0,2.0,9.0,0.0,5.0,1.0,8.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,1.0,3.0,10.0,6.0,9.0,8.0,4.0,6.0,3.0,5.0,3.0,8.0,1.0,6.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.0,6.0,6.8,1.4,6.7,0.7,4.4,0.6,14.2,0.2,0.2,0.3,3.4,2.5,0.1,1.2,1.8,0.4,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.0,6.0,6.8,1.4,5.9,0.7,2.7,0.6,10.3,0.2,0.2,0.3,3.4,2.5,0.1,1.2,1.8,0.4,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,0.0,4.8,7.1,0.1,4.5,1.1,7.0,0.3,1.9,1.1,1.1,0.7,2.6,0.5,0.0,0.3,0.4,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,0.0,109.0,139.0,16.0,104.0,18.0,97.0,9.0,122.0,14.0,13.0,10.0,61.0,30.0,2.0,15.0,22.0,8.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,0.0,83.0,47.0,3.0,118.0,38.0,73.0,11.0,40.0,8.0,36.0,98.0,64.0,22.0,0.0,1.0,14.0,15.0,7.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,0.0,114.0,166.0,62.0,76.0,116.0,248.0,70.0,43.0,83.0,103.0,64.0,52.0,88.0,27.0,25.0,22.0,2.0,9.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,0.0,224.0,129.0,3.0,282.0,43.0,94.0,3.0,174.0,14.0,60.0,74.0,144.0,17.0,3.0,8.0,29.0,33.0,11.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,0.0,27.0,27.0,6.0,32.0,0.0,22.0,4.0,49.0,0.0,5.0,0.0,19.0,11.0,0.0,15.0,18.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,0.0,6.0,24.0,0.0,19.0,7.0,26.0,4.0,20.0,5.0,5.0,0.0,14.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,0.0,33.0,51.0,6.0,52.0,7.0,48.0,7.0,69.0,5.0,9.0,0.0,33.0,11.0,0.0,30.0,18.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,0.0,27.0,27.0,6.0,29.0,0.0,18.0,4.0,32.0,0.0,5.0,0.0,19.0,11.0,0.0,15.0,18.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,0.0,33.0,51.0,6.0,49.0,7.0,44.0,7.0,53.0,5.0,9.0,0.0,33.0,11.0,0.0,30.0,18.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,0.0,18.0,20.0,4.0,22.0,2.0,16.0,2.0,57.0,1.0,1.0,2.0,16.0,13.0,1.0,18.0,32.0,14.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,0.0,15.0,21.0,0.0,15.0,3.0,26.0,1.0,8.0,5.0,5.0,3.0,13.0,3.0,0.0,4.0,7.0,14.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,0.0,33.0,41.0,5.0,36.0,6.0,42.0,3.0,65.0,6.0,6.0,5.0,29.0,16.0,1.0,23.0,39.0,28.0,15.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,0.0,18.0,20.0,4.0,19.0,2.0,10.0,2.0,42.0,1.0,1.0,2.0,16.0,13.0,1.0,18.0,32.0,14.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,0.0,33.0,41.0,5.0,34.0,6.0,36.0,3.0,49.0,6.0,6.0,5.0,29.0,16.0,1.0,23.0,39.0,28.0,15.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,1.0,80.0,58.0,33.0,42.0,41.0,49.0,42.0,11.0,25.0,39.0,33.0,35.0,47.0,17.0,9.0,6.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,582.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,0.0,50.0,35.0,15.0,28.0,30.0,29.0,20.0,5.0,16.0,23.0,21.0,24.0,27.0,11.0,6.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,349.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,1.0,31.0,22.0,19.0,16.0,23.0,18.0,28.0,4.0,7.0,24.0,13.0,14.0,13.0,12.0,4.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,261.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,0.0,41.0,23.0,14.0,18.0,14.0,20.0,14.0,4.0,15.0,11.0,14.0,10.0,23.0,3.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,234.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,0.0,8.0,13.0,0.0,8.0,4.0,11.0,0.0,3.0,3.0,4.0,6.0,11.0,11.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,0.0,31.0,24.0,11.0,14.0,25.0,23.0,22.0,6.0,14.0,23.0,21.0,11.0,23.0,11.0,9.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,277.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,0.0,88.0,67.0,22.0,38.0,39.0,72.0,34.0,9.0,40.0,41.0,36.0,30.0,48.0,16.0,20.0,8.0,9.0,4.0,3.0,0.0,1.0,0.0,0.0,625.0,524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,0.0,352.0,358.0,500.0,368.0,641.0,319.0,647.0,667.0,350.0,561.0,583.0,367.0,479.0,688.0,450.0,375.0,556.0,250.0,0.0,0.0,0.0,0.0,0.0,443.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,0.0,57.0,43.0,11.0,24.0,14.0,49.0,12.0,3.0,26.0,18.0,15.0,19.0,25.0,5.0,11.0,5.0,4.0,3.0,3.0,0.0,1.0,0.0,0.0,348.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,0.0,58.0,50.0,33.0,37.0,20.0,35.0,25.0,10.0,23.0,31.0,20.0,18.0,33.0,17.0,7.0,9.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,437.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,0.0,6.0,12.0,26.0,3.0,6.0,6.0,17.0,2.0,9.0,7.0,6.0,2.0,10.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,0.0,52.0,38.0,7.0,34.0,14.0,29.0,8.0,8.0,14.0,24.0,14.0,16.0,23.0,5.0,5.0,9.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,311.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,0.0,31.0,28.0,38.0,21.0,38.0,9.0,17.0,1.0,24.0,20.0,18.0,6.0,16.0,11.0,11.0,7.0,1.0,7.0,3.0,0.0,3.0,0.0,0.0,310.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,1.0,111.0,86.0,71.0,63.0,79.0,58.0,59.0,12.0,49.0,59.0,51.0,41.0,63.0,28.0,20.0,13.0,11.0,8.0,3.0,0.0,6.0,0.0,0.0,892.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,15.0,27.0,49.0,108.0,10.0,63.0,4.0,73.0,14.0,33.0,42.0,36.0,4.0,39.0,53.0,18.0,8.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,606.0,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
