Jogador,Lassana Coulibaly,Antonio Candreva,Boulaye Dia,Tonny Vilhena,Domagoj Bradarić,Flavius Daniliuc,Krzysztof Piątek,Pasquale Mazzocchi,Lorenzo Pirola,Norbert Gyömbér,Guillermo Ochoa,Dylan Bronn,Luigi Sepe,Grigoris Kastanos,Federico Bonazzoli,Federico Fazio,Giulio Maggiore,Erik Botheim,Emil Bohinen,Matteo Lovato,Junior Sambia,Ivan Radovanović,Hans Nicolussi Caviglia,William Troost-Ekong,Domen Črnigoj,Vincenzo Fiorillo,Diego Valencia,Franck Ribéry,Julian Kristoffersen,Antonio Iervolino,Pasquale Allocca,Reda Boultam,Leonardo Capezzi,Jacopo De Matteis,Paweł Jaroszyński,Wajdi Kechrida,Alessandro Micai,Andrei Motoc,Andres Sfait,Andrea Sorrentino,Freddie Veseli
Pos.,LT,"LT,ZG","AT,LT",LT,ZG,ZG,AT,ZG,ZG,ZG,G,ZG,G,"LT,ZG","AT,LT",ZG,LT,"LT,AT",LT,ZG,ZG,"LT,ZG",LT,ZG,LT,G,"LT,AT",LT,AT,LT,G,LT,LT,G,"ZG,LT",ZG,G,LT,LT,G,ZG
Idade,26.0,35.0,25.0,27.0,22.0,21.0,27.0,27.0,20.0,30.0,37.0,27.0,31.0,24.0,25.0,35.0,24.0,22.0,23.0,22.0,25.0,33.0,22.0,28.0,26.0,32.0,22.0,39.0,25.0,19.0,17.0,24.0,27.0,19.0,27.0,26.0,29.0,20.0,17.0,17.0,29.0
MP,35,35,33,33,31,27,33,27,26,27,20,24,17,28,24,14,16,28,24,17,22,10,12,9,7,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Inícios,34,32,27,27,24,23,23,23,23,23,20,19,17,13,12,12,11,9,9,8,7,7,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Min.,2.892,2.726,2.518,2.265,2.25,2.195,2.14,1.958,1.941,1.74,1.8,1.683,1.53,1.286,1.119,1.074,894.0,866.0,832.0,814.0,697.0,671.0,586.0,444.0,296.0,90.0,231.0,37.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90s,32.1,30.3,28.0,25.2,25.0,24.4,23.8,21.8,21.6,19.3,20.0,18.7,17.0,14.3,12.4,11.9,9.9,9.6,9.2,9.0,7.7,7.5,6.5,4.9,3.3,1.0,2.6,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols,3.0,7.0,16.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis.,3.0,4.0,6.0,1.0,3.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A,6.0,11.0,22.0,5.0,3.0,2.0,9.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB,3.0,7.0,15.0,4.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtsA,12.0,3.0,4.0,5.0,5.0,9.0,5.0,2.0,4.0,5.0,1.0,5.0,3.0,4.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrtV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG,0.8,3.7,8.8,2.4,0.2,0.6,8.3,1.3,1.5,0.7,0.0,0.7,0.0,1.9,2.4,0.7,0.5,0.6,0.1,0.0,0.6,0.2,0.4,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG,0.8,3.7,8.0,2.4,0.2,0.6,7.6,1.3,1.5,0.7,0.0,0.7,0.0,1.9,2.4,0.7,0.5,0.6,0.1,0.0,0.6,0.2,0.4,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG,1.8,4.7,3.1,1.7,2.3,0.5,2.1,2.6,0.4,0.6,0.0,0.4,0.0,0.6,1.1,0.1,0.5,1.8,0.7,0.0,1.6,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG,26.0,83.0,111.0,41.0,25.0,12.0,97.0,39.0,19.0,14.0,0.0,10.0,0.0,25.0,35.0,8.0,9.0,23.0,8.0,0.0,22.0,2.0,5.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgC,52.0,71.0,48.0,30.0,63.0,14.0,27.0,70.0,13.0,5.0,0.0,10.0,0.0,27.0,11.0,13.0,7.0,11.0,12.0,1.0,23.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgP,120.0,135.0,50.0,80.0,52.0,70.0,33.0,60.0,43.0,45.0,0.0,70.0,0.0,57.0,43.0,40.0,53.0,21.0,31.0,8.0,27.0,16.0,19.0,6.0,3.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrgR,59.0,171.0,140.0,59.0,107.0,5.0,121.0,102.0,4.0,2.0,0.0,5.0,0.0,59.0,67.0,4.0,13.0,61.0,16.0,1.0,38.0,2.0,2.0,0.0,9.0,0.0,21.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gols.1,9.0,23.0,57.0,16.0,0.0,0.0,17.0,9.0,9.0,0.0,0.0,0.0,0.0,14.0,16.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assis..1,9.0,13.0,21.0,4.0,12.0,8.0,21.0,14.0,0.0,5.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,31.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A.1,19.0,36.0,79.0,20.0,12.0,8.0,38.0,23.0,9.0,5.0,0.0,0.0,0.0,21.0,24.0,8.0,0.0,42.0,0.0,0.0,13.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-PB.1,9.0,23.0,54.0,16.0,0.0,0.0,13.0,9.0,9.0,0.0,0.0,0.0,0.0,14.0,16.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G+A-PB,19.0,36.0,75.0,20.0,12.0,8.0,34.0,23.0,9.0,5.0,0.0,0.0,0.0,21.0,24.0,8.0,0.0,42.0,0.0,0.0,13.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG.1,3.0,12.0,31.0,10.0,1.0,3.0,35.0,6.0,7.0,4.0,0.0,3.0,0.0,13.0,19.0,6.0,5.0,6.0,2.0,0.0,8.0,3.0,7.0,14.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xAG.1,6.0,15.0,11.0,7.0,9.0,2.0,9.0,12.0,2.0,3.0,0.0,2.0,0.0,5.0,9.0,1.0,5.0,18.0,7.0,0.0,21.0,0.0,1.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xG+xAG,8.0,27.0,43.0,16.0,10.0,5.0,44.0,18.0,9.0,7.0,0.0,5.0,0.0,18.0,28.0,7.0,10.0,24.0,9.0,0.0,29.0,3.0,7.0,14.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG.1,3.0,12.0,29.0,10.0,1.0,3.0,32.0,6.0,7.0,4.0,0.0,3.0,0.0,13.0,19.0,6.0,5.0,6.0,2.0,0.0,8.0,3.0,7.0,14.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
npxG+xAG.1,8.0,27.0,40.0,16.0,10.0,5.0,41.0,18.0,9.0,7.0,0.0,5.0,0.0,18.0,28.0,7.0,10.0,24.0,9.0,0.0,29.0,3.0,7.0,14.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div,84.0,17.0,12.0,44.0,26.0,57.0,18.0,32.0,33.0,32.0,0.0,34.0,0.0,39.0,5.0,15.0,20.0,11.0,25.0,17.0,12.0,12.0,15.0,11.0,8.0,0.0,8.0,0.0,0.0,0.0,587.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TklW,50.0,7.0,5.0,22.0,19.0,29.0,11.0,18.0,29.0,23.0,0.0,18.0,0.0,23.0,3.0,12.0,8.0,7.0,13.0,14.0,5.0,4.0,6.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,337.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Def,42.0,13.0,3.0,16.0,14.0,37.0,3.0,21.0,18.0,25.0,0.0,17.0,0.0,18.0,0.0,8.0,11.0,3.0,15.0,14.0,7.0,8.0,5.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,309.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço Central,35.0,2.0,6.0,23.0,8.0,17.0,9.0,5.0,14.0,6.0,0.0,16.0,0.0,19.0,3.0,7.0,6.0,4.0,8.0,3.0,4.0,4.0,8.0,4.0,7.0,0.0,2.0,0.0,0.0,0.0,220.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terço de Ataque,7.0,2.0,3.0,5.0,4.0,3.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,58.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Div.1,30.0,11.0,2.0,20.0,7.0,26.0,5.0,17.0,19.0,16.0,0.0,20.0,0.0,16.0,0.0,4.0,10.0,6.0,12.0,10.0,6.0,4.0,9.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,259.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tent,73.0,38.0,7.0,50.0,16.0,47.0,21.0,37.0,27.0,24.0,2.0,30.0,1.0,40.0,9.0,11.0,21.0,13.0,23.0,25.0,10.0,10.0,15.0,7.0,2.0,0.0,9.0,0.0,0.0,1.0,569.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl%,411.0,289.0,286.0,400.0,438.0,553.0,238.0,459.0,704.0,667.0,0.0,667.0,0.0,400.0,0.0,364.0,476.0,462.0,522.0,400.0,600.0,400.0,600.0,857.0,500.0,0.0,222.0,0.0,0.0,0.0,455.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perdido,43.0,27.0,5.0,30.0,9.0,21.0,16.0,20.0,8.0,8.0,2.0,10.0,1.0,24.0,9.0,7.0,11.0,7.0,11.0,15.0,4.0,6.0,6.0,1.0,1.0,0.0,7.0,0.0,0.0,1.0,310.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bloqueios,35.0,7.0,10.0,17.0,20.0,30.0,17.0,10.0,50.0,33.0,0.0,32.0,0.0,20.0,9.0,9.0,19.0,3.0,25.0,8.0,9.0,9.0,9.0,7.0,9.0,0.0,10.0,1.0,1.0,0.0,409.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC,7.0,3.0,0.0,7.0,5.0,13.0,4.0,2.0,35.0,22.0,0.0,20.0,0.0,6.0,1.0,4.0,4.0,0.0,7.0,5.0,3.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,157.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Passe,28.0,4.0,10.0,10.0,15.0,17.0,13.0,8.0,15.0,11.0,0.0,12.0,0.0,14.0,8.0,5.0,15.0,3.0,18.0,3.0,6.0,6.0,9.0,3.0,8.0,0.0,9.0,1.0,1.0,0.0,252.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crts,25.0,17.0,7.0,18.0,21.0,29.0,2.0,10.0,30.0,35.0,0.0,20.0,0.0,8.0,3.0,28.0,8.0,0.0,17.0,13.0,8.0,7.0,7.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,329.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tkl+Int,109.0,34.0,19.0,62.0,47.0,86.0,20.0,42.0,63.0,67.0,0.0,54.0,0.0,47.0,8.0,43.0,28.0,11.0,42.0,30.0,20.0,19.0,22.0,17.0,17.0,0.0,9.0,0.0,0.0,0.0,916.0,863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Def,33.0,32.0,27.0,21.0,44.0,76.0,39.0,37.0,85.0,92.0,9.0,58.0,0.0,8.0,0.0,61.0,10.0,4.0,21.0,33.0,16.0,9.0,7.0,10.0,6.0,0.0,2.0,0.0,0.0,0.0,740.0,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erros,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
