Em casa,Visitante,Classe
Inter,Genoa,1.0
Hellas Verona,Sassuolo,2.0
Torino,Atalanta,2.0
Empoli,Lazio,2.0
Bologna,Salernitana,1.0
Udinese,Juventus,0.0
Napoli,Venezia,1.0
Roma,Fiorentina,1.0
Cagliari,Spezia,0.0
Sampdoria,Milan,2.0
Udinese,Venezia,1.0
Hellas Verona,Inter,2.0
Atalanta,Bologna,0.0
Lazio,Spezia,1.0
Fiorentina,Torino,1.0
Juventus,Empoli,2.0
Sassuolo,Sampdoria,0.0
Genoa,Napoli,2.0
Milan,Cagliari,1.0
Salernitana,Roma,2.0
Empoli,Venezia,2.0
Napoli,Juventus,1.0
Atalanta,Fiorentina,2.0
Sampdoria,Inter,0.0
Cagliari,Genoa,2.0
Torino,Salernitana,1.0
Spezia,Udinese,2.0
Milan,Lazio,1.0
Roma,Sassuolo,1.0
Bologna,Hellas Verona,1.0
Sassuolo,Torino,2.0
Genoa,Fiorentina,2.0
Inter,Bologna,1.0
Salernitana,Atalanta,2.0
Empoli,Sampdoria,2.0
Venezia,Spezia,2.0
Lazio,Cagliari,0.0
Hellas Verona,Roma,1.0
Juventus,Milan,0.0
Udinese,Napoli,2.0
Bologna,Genoa,0.0
Fiorentina,Inter,2.0
Atalanta,Sassuolo,1.0
Spezia,Juventus,2.0
Salernitana,Hellas Verona,0.0
Cagliari,Empoli,2.0
Milan,Venezia,1.0
Torino,Lazio,0.0
Sampdoria,Napoli,2.0
Roma,Udinese,1.0
Spezia,Milan,2.0
Inter,Atalanta,0.0
Genoa,Hellas Verona,0.0
Juventus,Sampdoria,1.0
Sassuolo,Salernitana,1.0
Udinese,Fiorentina,2.0
Empoli,Bologna,1.0
Lazio,Roma,1.0
Napoli,Cagliari,1.0
Venezia,Torino,0.0
Cagliari,Venezia,0.0
Salernitana,Genoa,1.0
Torino,Juventus,2.0
Sassuolo,Inter,2.0
Bologna,Lazio,1.0
Sampdoria,Udinese,0.0
Hellas Verona,Spezia,1.0
Fiorentina,Napoli,2.0
Roma,Empoli,1.0
Atalanta,Milan,2.0
Spezia,Salernitana,1.0
Lazio,Inter,1.0
Milan,Hellas Verona,1.0
Cagliari,Sampdoria,1.0
Genoa,Sassuolo,0.0
Empoli,Atalanta,2.0
Udinese,Bologna,0.0
Napoli,Torino,1.0
Juventus,Roma,1.0
Venezia,Fiorentina,1.0
Torino,Genoa,1.0
Sampdoria,Spezia,1.0
Salernitana,Empoli,2.0
Sassuolo,Venezia,1.0
Bologna,Milan,2.0
Atalanta,Udinese,0.0
Fiorentina,Cagliari,1.0
Hellas Verona,Lazio,1.0
Roma,Napoli,0.0
Inter,Juventus,0.0
Venezia,Salernitana,2.0
Spezia,Genoa,0.0
Milan,Torino,1.0
Juventus,Sassuolo,2.0
Sampdoria,Atalanta,2.0
Udinese,Hellas Verona,0.0
Lazio,Fiorentina,1.0
Empoli,Inter,2.0
Cagliari,Roma,2.0
Napoli,Bologna,1.0
Atalanta,Lazio,0.0
Hellas Verona,Juventus,1.0
Torino,Sampdoria,1.0
Inter,Udinese,1.0
Sassuolo,Empoli,2.0
Fiorentina,Spezia,1.0
Genoa,Venezia,0.0
Salernitana,Napoli,2.0
Roma,Milan,2.0
Bologna,Cagliari,1.0
Empoli,Genoa,0.0
Spezia,Torino,1.0
Juventus,Fiorentina,1.0
Cagliari,Atalanta,2.0
Venezia,Roma,1.0
Sampdoria,Bologna,2.0
Udinese,Sassuolo,1.0
Lazio,Salernitana,1.0
Napoli,Hellas Verona,0.0
Milan,Inter,0.0
Atalanta,Spezia,1.0
Lazio,Juventus,2.0
Fiorentina,Milan,1.0
Sassuolo,Cagliari,0.0
Bologna,Venezia,2.0
Salernitana,Sampdoria,2.0
Inter,Napoli,1.0
Genoa,Roma,2.0
Hellas Verona,Empoli,1.0
Torino,Udinese,1.0
Cagliari,Salernitana,0.0
Sampdoria,Hellas Verona,1.0
Empoli,Fiorentina,1.0
Juventus,Atalanta,2.0
Venezia,Inter,2.0
Udinese,Genoa,0.0
Milan,Sassuolo,2.0
Spezia,Bologna,2.0
Roma,Torino,1.0
Napoli,Lazio,1.0
Atalanta,Venezia,1.0
Fiorentina,Sampdoria,1.0
Hellas Verona,Cagliari,0.0
Salernitana,Juventus,2.0
Inter,Spezia,1.0
Bologna,Roma,1.0
Genoa,Milan,2.0
Sassuolo,Napoli,0.0
Torino,Empoli,0.0
Lazio,Udinese,0.0
Milan,Salernitana,1.0
Roma,Inter,2.0
Napoli,Atalanta,2.0
Bologna,Fiorentina,2.0
Venezia,Hellas Verona,2.0
Spezia,Sassuolo,0.0
Sampdoria,Lazio,2.0
Juventus,Genoa,1.0
Empoli,Udinese,1.0
Cagliari,Torino,0.0
Genoa,Sampdoria,2.0
Fiorentina,Salernitana,1.0
Venezia,Juventus,0.0
Udinese,Milan,0.0
Torino,Bologna,1.0
Hellas Verona,Atalanta,2.0
Sassuolo,Lazio,1.0
Napoli,Empoli,2.0
Inter,Cagliari,1.0
Roma,Spezia,1.0
Lazio,Genoa,1.0
Salernitana,Inter,2.0
Atalanta,Roma,2.0
Bologna,Juventus,2.0
Cagliari,Udinese,2.0
Fiorentina,Sassuolo,0.0
Spezia,Empoli,0.0
Sampdoria,Venezia,0.0
Torino,Hellas Verona,1.0
Milan,Napoli,2.0
Genoa,Atalanta,0.0
Juventus,Cagliari,1.0
Venezia,Lazio,2.0
Sassuolo,Bologna,2.0
Roma,Sampdoria,0.0
Inter,Torino,1.0
Hellas Verona,Fiorentina,0.0
Empoli,Milan,2.0
Napoli,Spezia,2.0
Sampdoria,Cagliari,2.0
Lazio,Empoli,0.0
Spezia,Hellas Verona,2.0
Sassuolo,Genoa,0.0
Milan,Roma,1.0
Juventus,Napoli,0.0
Venezia,Milan,2.0
Empoli,Sassuolo,2.0
Napoli,Sampdoria,1.0
Udinese,Atalanta,2.0
Genoa,Spezia,2.0
Roma,Juventus,2.0
Hellas Verona,Salernitana,2.0
Inter,Lazio,1.0
Torino,Fiorentina,1.0
Cagliari,Bologna,1.0
Sampdoria,Torino,2.0
Salernitana,Lazio,2.0
Juventus,Udinese,1.0
Sassuolo,Hellas Verona,2.0
Venezia,Empoli,0.0
Roma,Cagliari,1.0
Atalanta,Inter,0.0
Milan,Spezia,2.0
Bologna,Napoli,2.0
Fiorentina,Genoa,1.0
Hellas Verona,Bologna,1.0
Genoa,Udinese,0.0
Inter,Venezia,1.0
Lazio,Atalanta,0.0
Cagliari,Fiorentina,0.0
Torino,Sassuolo,0.0
Napoli,Salernitana,1.0
Spezia,Sampdoria,1.0
Empoli,Roma,2.0
Milan,Juventus,0.0
Roma,Genoa,0.0
Inter,Milan,2.0
Fiorentina,Lazio,2.0
Atalanta,Cagliari,2.0
Venezia,Napoli,2.0
Bologna,Empoli,0.0
Sampdoria,Sassuolo,1.0
Udinese,Torino,1.0
Juventus,Hellas Verona,1.0
Salernitana,Spezia,0.0
Lazio,Bologna,1.0
Napoli,Inter,0.0
Torino,Venezia,2.0
Milan,Sampdoria,1.0
Empoli,Cagliari,0.0
Hellas Verona,Udinese,1.0
Genoa,Salernitana,0.0
Sassuolo,Roma,0.0
Atalanta,Juventus,0.0
Spezia,Fiorentina,2.0
Juventus,Torino,0.0
Sampdoria,Empoli,1.0
Roma,Hellas Verona,0.0
Salernitana,Milan,0.0
Fiorentina,Atalanta,1.0
Venezia,Genoa,0.0
Inter,Sassuolo,2.0
Udinese,Lazio,0.0
Cagliari,Napoli,0.0
Bologna,Spezia,1.0
Milan,Udinese,0.0
Genoa,Inter,0.0
Salernitana,Bologna,0.0
Empoli,Juventus,2.0
Sassuolo,Fiorentina,1.0
Torino,Cagliari,2.0
Hellas Verona,Venezia,1.0
Spezia,Roma,2.0
Lazio,Napoli,2.0
Atalanta,Sampdoria,1.0
Inter,Salernitana,1.0
Udinese,Sampdoria,1.0
Roma,Atalanta,1.0
Cagliari,Lazio,2.0
Genoa,Empoli,0.0
Fiorentina,Hellas Verona,0.0
Bologna,Torino,0.0
Venezia,Sassuolo,2.0
Juventus,Spezia,1.0
Napoli,Milan,2.0
Spezia,Cagliari,1.0
Salernitana,Sassuolo,0.0
Sampdoria,Juventus,2.0
Milan,Empoli,1.0
Fiorentina,Bologna,1.0
Hellas Verona,Napoli,2.0
Udinese,Roma,0.0
Atalanta,Genoa,0.0
Torino,Inter,0.0
Lazio,Venezia,1.0
Sassuolo,Spezia,1.0
Genoa,Torino,1.0
Napoli,Udinese,1.0
Inter,Fiorentina,0.0
Cagliari,Milan,2.0
Venezia,Sampdoria,2.0
Juventus,Salernitana,1.0
Empoli,Hellas Verona,0.0
Roma,Lazio,1.0
Bologna,Atalanta,2.0
Spezia,Venezia,1.0
Lazio,Sassuolo,1.0
Salernitana,Torino,2.0
Fiorentina,Empoli,1.0
Atalanta,Napoli,2.0
Udinese,Cagliari,1.0
Sampdoria,Roma,2.0
Juventus,Inter,2.0
Hellas Verona,Genoa,1.0
Milan,Bologna,0.0
Empoli,Spezia,0.0
Inter,Hellas Verona,1.0
Cagliari,Juventus,2.0
Genoa,Lazio,2.0
Sassuolo,Atalanta,1.0
Napoli,Fiorentina,2.0
Venezia,Udinese,2.0
Roma,Salernitana,1.0
Torino,Milan,0.0
Bologna,Sampdoria,1.0
Spezia,Inter,2.0
Milan,Genoa,1.0
Cagliari,Sassuolo,1.0
Udinese,Empoli,1.0
Sampdoria,Salernitana,2.0
Fiorentina,Venezia,1.0
Juventus,Bologna,0.0
Lazio,Torino,0.0
Napoli,Roma,0.0
Atalanta,Hellas Verona,2.0
Udinese,Salernitana,2.0
Torino,Spezia,1.0
Venezia,Atalanta,2.0
Inter,Roma,1.0
Hellas Verona,Sampdoria,0.0
Salernitana,Fiorentina,1.0
Empoli,Napoli,1.0
Bologna,Udinese,0.0
Genoa,Cagliari,1.0
Lazio,Milan,2.0
Sassuolo,Juventus,2.0
Fiorentina,Udinese,2.0
Atalanta,Torino,0.0
Bologna,Inter,1.0
Napoli,Sassuolo,1.0
Cagliari,Hellas Verona,2.0
Sampdoria,Genoa,1.0
Spezia,Lazio,2.0
Juventus,Venezia,1.0
Milan,Fiorentina,1.0
Empoli,Torino,2.0
Udinese,Inter,2.0
Roma,Bologna,0.0
Atalanta,Salernitana,0.0
Salernitana,Venezia,1.0
Inter,Empoli,1.0
Genoa,Juventus,1.0
Torino,Napoli,2.0
Sassuolo,Udinese,0.0
Lazio,Sampdoria,1.0
Spezia,Atalanta,2.0
Venezia,Bologna,1.0
Salernitana,Cagliari,0.0
Hellas Verona,Milan,2.0
Fiorentina,Roma,1.0
Empoli,Salernitana,0.0
Udinese,Spezia,2.0
Hellas Verona,Torino,2.0
Roma,Venezia,0.0
Bologna,Sassuolo,2.0
Napoli,Genoa,1.0
Milan,Atalanta,1.0
Cagliari,Inter,2.0
Sampdoria,Fiorentina,1.0
Juventus,Lazio,0.0
Torino,Roma,2.0
Genoa,Bologna,2.0
Atalanta,Empoli,2.0
Lazio,Hellas Verona,0.0
Fiorentina,Juventus,1.0
Spezia,Napoli,2.0
Sassuolo,Milan,2.0
Inter,Sampdoria,1.0
Venezia,Cagliari,0.0
Salernitana,Udinese,2.0
